Name,Description,AAT ID ,Link
Sofa/Couch,"Long, upholstered seating objects with a back and two ends, and primarily used for sitting rather than reclining. Distinct from ""couches (reclining furniture)"" which have a back support and one end and are primarily used for reclining rather than sitting. The term ""sofa"" was first used in France at the end of the 17th century as an alternative for canapé. The terms sofa and settee are virtually interchangeable in 20th-century usage but there is a distinction between the two; a sofa is generally completely upholstered.",300038634,http://www.getty.edu/vow/AATFullDisplay?find=sofa&logic=AND&note=&english=N&prev_page=1&subjectid=300038634
Chair,"Seats for one person with a back or a back and arms. Distinct from ""stools"" which have no back.",300037772,http://www.getty.edu/vow/AATFullDisplay?find=chair&logic=AND&note=&page=1&subjectid=300037772
Other Furniture,Furnishings and Equipment,300037342,http://www.getty.edu/vow/AATFullDisplay?find=mirror&logic=AND&note=&page=1&subjectid=300037342
Mirror,"Objects with a highly polished surface, designed to reflect images clearly. The surface is typically smooth, flat, or sometimes slightly curved, made of polished metal in ancient and medieval times, but later usually of glass with a reflective coating on one side.",300037682,http://www.getty.edu/vow/AATFullDisplay?find=mirror&logic=AND&note=&page=1&subjectid=300037682
Storage Spaces,Rooms or areas in a structure that are allocated for storage.,300004465,http://www.getty.edu/vow/AATFullDisplay?find=storage+spaces&logic=AND&note=&english=N&prev_page=1&subjectid=300004465
Closet,"Small side-rooms or recesses in a structure, usually having a door, built or used for storing clothing, utensils, or provisions.",300004467,http://www.getty.edu/vow/AATFullDisplay?find=closet&logic=AND&note=&english=N&prev_page=1&subjectid=300004467
Closet inside,"Small rooms, usually in a home, built or used for storing clothing.",300004472,http://www.getty.edu/vow/AATFullDisplay?find=closet&logic=AND&note=&english=N&prev_page=1&subjectid=300004472
Closet top,,,
Cabinets,"Relatively small, private rooms, often adjacent to bedrooms in great houses, serving as sitting rooms, rooms for dressing, study, devotion, or private meetings, and, during certain periods, often containing collections of curiosities and art objects.",300078138,http://www.getty.edu/vow/AATFullDisplay?find=closet&logic=AND&note=&english=N&prev_page=1&subjectid=300078138
Counter,"Flat working surfaces on top of waist-level cabinets, such as found near or adjacent to the sinks in kitchens and bathrooms.",300375691,http://www.getty.edu/vow/AATFullDisplay?find=counters&logic=AND&note=&english=N&prev_page=1&subjectid=300375691
Drawers,"Sliding receptacles, fitted into furniture, that can be drawn out horizontally.",300040558,http://www.getty.edu/vow/AATFullDisplay?find=drawers&logic=AND&note=&page=1&subjectid=300040558
Wall above sink,,,
Steps,"Pieces of furniture consisting of risers and treads, typically used indoors in place of ladders.",300165788,http://www.getty.edu/vow/AATFullDisplay?find=steps&logic=AND&note=&page=1&subjectid=300165788
Architectural Elements,"Forms, structural or decorative, developed originally or primarily as components of architecture, often adapted to other habitable spaces, such as in large vehicles, and often borrowed or imitated for structural or decorative use on other objects.",300000885,http://www.getty.edu/vow/AATFullDisplay?find=Architectural+Elements&logic=AND&note=&english=N&prev_page=1&subjectid=300000885
Door,"Barriers that swing, slide, tilt, or fold to close a doorway, usually of solid and finished construction and usually leading to or separating interior spaces. Use also for similar features that close a container or a piece of case furniture. For barriers of less solid or finished construction, and usually separating two exterior spaces, use ""gates.""",300002803,http://www.getty.edu/vow/AATFullDisplay?find=Door&logic=AND&note=&page=1&subjectid=300002803
Light Switch,"Mechanisms for making, breaking, or changing connections in electrical circuits.",300050682,http://www.getty.edu/vow/AATFullDisplay?find=switch&logic=AND&note=&english=N&prev_page=1&subjectid=300050682
Toilet,Plumbing fixtures consisting typically of a water-flushed bowl with a toilet seat.,300052638,http://www.getty.edu/vow/AATFullDisplay?find=Toilet&logic=AND&note=&page=1&subjectid=300052638
Toilet Tank Top,"Sets of vessels and other articles intended for use on a toilet or dressing table; generally including a variety of small boxes and bottles, and sometimes also a brush, comb, mirror, or tray. In modern usage, such sets are more common for women's toilets than for men's.",300236191,http://www.getty.edu/vow/AATFullDisplay?find=Toilet&logic=AND&note=&english=N&prev_page=1&subjectid=300236191
Shelves,"Boards, planks, or slabs of wood or any other rigid material fixed in a horizontal position to a wall or in a case, to hold books or other objects as in a bookcase or cabinet.",300165847,http://www.getty.edu/vow/AATFullDisplay?find=Shelves&logic=AND&note=&english=N&prev_page=1&subjectid=300165847
Floor,The surfaces of rooms or spaces on which one walks.,300002060,http://www.getty.edu/vow/AATFullDisplay?find=Floor&logic=AND&note=&page=1&subjectid=300002060
Information Form,"he Information Forms hierarchy contains terms for textual, graphic, and physical objects having the primary and original purpose to record or convey specific information.",300026029,http://www.getty.edu/vow/AATFullDisplay?find=Information+Form&logic=AND&note=&english=N&prev_page=1&subjectid=300026029
Information Artifact,"Physical formats, objects, digital information, or other non-material human constructs by which specific information may be recorded or conveyed. For example, books, leaflets, or audiotapes; or in computing, the primary components of an information artifct are information systems and procedures related to the artifact.",300230425,http://www.getty.edu/vow/AATFullDisplay?find=Information+Artifact&logic=AND&note=&english=N&prev_page=1&subjectid=300230425
Calendar,"Registers of days or other contrivances for reckoning days, months, years, etc., such as a table showing the division of a given year into its months, weeks, days, years, or other divisions of time. A calendar may include important astronomical data, ecclesiastical or other festivals, and other events belonging to specific days. For calendric systems of dates, see children under ""<dates by calendars>.""",300026741,http://www.getty.edu/vow/AATFullDisplay?find=Calendar&logic=AND&note=&english=N&prev_page=1&subjectid=300026741
Whiteboard,,,
Refrigerator Artifact,"Rocks, material, or objects that produces a magnetic field external to itself, which causes the magnet to attract other ferromagnetic materials, such as iron, and attracts or repels other magnets.",300024549,http://www.getty.edu/vow/AATFullDisplay?find=magnet&logic=AND&note=&english=N&prev_page=1&subjectid=300024549
"Magazine, Book, Publication, Document","Documents distributed to the public by sale or other transfer of ownership, or by rental, lease, or lending.",300111999,http://www.getty.edu/vow/AATFullDisplay?find=Publication&logic=AND&note=&page=1&subjectid=300111999
Reminder Card,"Rectangular pieces of stiff paper or plastic, usually of standard dimensions, used as a support on which information is typed, written, or transcribed.",300026756,http://www.getty.edu/vow/AATFullDisplay?find=card&logic=AND&note=&english=N&prev_page=1&subjectid=300026756
Picture Frame,"Framing for two-dimensional visual works; picture frames may or many not use glass to protect the work, depending upon the type of work framed.",300404391,http://www.getty.edu/vow/AATFullDisplay?find=Picture+Frame&logic=AND&note=&english=N&prev_page=1&subjectid=300404391
Scale,"Household accessories, usually portable, meant for persons to stand on in order to ascertain their weight.",300195814,http://www.getty.edu/vow/AATFullDisplay?find=Scale&logic=AND&note=&english=N&prev_page=1&subjectid=300195814
Slide Holder,,,
Timepieces,Devices for measuring and recording the passage of time.,300041573,http://www.getty.edu/vow/AATFullDisplay?find=Timepieces&logic=AND&note=&english=N&prev_page=1&subjectid=300041573
Clock Radio,"Clocks with a bell or buzzer that can be set to sound at a particular time, as to awaken someone.",300195766,http://www.getty.edu/vow/AATFullDisplay?find=Clock&logic=AND&note=&english=N&prev_page=1&subjectid=300195766
Clock,"Refers to instruments that measure and indicate the passage of time, especially by mechanical means producing a regularly recurring action and indicating, usually by hands or changing numbers, the hours and minutes; not designed to be worn or otherwise carried about on a person. For wearable timepieces, see ""watches.""",300041575,http://www.getty.edu/vow/AATFullDisplay?find=Clock&logic=AND&note=&page=1&subjectid=300041575
Equipment,"Articles or physical resources used to array, dress up, rig out, equip, or otherwise provide with what is requisite for efficient action by a person or animal or for a thing.",300122241,http://www.getty.edu/vow/AATFullDisplay?find=Equipment&logic=AND&note=&page=1&subjectid=300122241
Computer Equipment,Describes the physical parts or components of a computer.,300235731,http://www.getty.edu/vow/AATFullDisplay?find=Computer+Equipment&logic=AND&note=&english=N&prev_page=1&subjectid=300235731
Computer,Electronic devices or systems capable of automatically performing prescribed sequences of operations on digitised data to achieve a desired end result.,300024521,http://www.getty.edu/vow/AATFullDisplay?find=Computer&logic=AND&note=&english=N&prev_page=2&subjectid=300024521
Laptop,Microcomputers so compact that they can be operated while resting on the user's lap.,300168350,http://www.getty.edu/vow/AATFullDisplay?find=Laptop&logic=AND&note=&english=N&prev_page=1&subjectid=300168350
Tablet,Computers intermediate in size between a laptop and a smartphone that use a touch-activated screen.,300387132,http://www.getty.edu/vow/AATFullDisplay?find=Tablet&logic=AND&note=&english=N&prev_page=1&subjectid=300387132
Smartphone,"Portable, cordless telephones for use in a cellular radio network.",300265393,http://www.getty.edu/vow/AATFullDisplay?find=phone&logic=AND&note=&english=N&prev_page=1&subjectid=300265393
Printer,Output devices that convert coded information from the processor into a readable form on paper.,300024535,http://www.getty.edu/vow/AATFullDisplay?find=Printer&logic=AND&note=&page=1&subjectid=300024535
Keyboard,Assemblages of systematically arranged keys by which a machine is operated.,300024533,http://www.getty.edu/vow/AATFullDisplay?find=Keyboard&logic=AND&note=&english=N&prev_page=1&subjectid=300024533
Appliances,"Devices used in a domestic context that facilitate such tasks as food preparation, food storage, cleaning, and grooming and that are powered by fuel or electricity.",300257284,http://www.getty.edu/vow/AATFullDisplay?find=Appliances&logic=AND&note=&english=N&prev_page=1&subjectid=300257284
Refrigerator,"Containers or spaces maintained at a low temperature by means of ice or mechanical apparatus for the purpose of preserving its contents, especially food or drink.",300215748,http://www.getty.edu/vow/AATFullDisplay?find=Refrigerator&logic=AND&note=&english=N&prev_page=1&subjectid=300215748
Refrigerator Outside,,,
Refrigerator Top,,,
Stove,"Portable or fixed apparatuses that furnish heat for warmth or cooking, commonly using coal, oil, gas, wood, or electricity as a source of power.",300052201,http://www.getty.edu/vow/AATFullDisplay?find=stove&logic=AND&note=&english=N&prev_page=1&subjectid=300052201
Water Dispenser,Vessels for holding drinking water that is cooled and drawn off by a faucet or spigot.,300045663,http://www.getty.edu/vow/AATFullDisplay?find=water+cooler&logic=AND&note=&english=N&prev_page=1&subjectid=300045663
Coffee Maker,"Generally refers to any of various utensils in which coffee is infused, brewed, percolated, or boiled. Specifically, it usually refers to an electrical appliance for making coffee that may be run automatically.",300215520,http://www.getty.edu/vow/AATFullDisplay?find=Coffee+Maker&logic=AND&note=&english=N&prev_page=1&subjectid=300215520
TV and Remote,"elecommunication system whereby visual images, with or without accompanying sound, are converted to electromagnetic waves and transmitted to distant receivers where they are reconverted into moving visual images.",300249920,http://www.getty.edu/vow/AATFullDisplay?find=tv&logic=AND&note=&english=N&prev_page=1&subjectid=300249920
Telecommunication,"Systems for communicating at a distance, often a collection of individual communications networks, transmission systems, relay stations, subsidiary stations, data terminal equipment, and other facilities for disseminating information. Examples include telephone, telegraph, radio, television, optical communications, internet, etc.",300008610,http://www.getty.edu/vow/AATFullDisplay?find=tv&logic=AND&note=&page=1&subjectid=300008610
Telephone,"Instruments, apparatus, or devices that convey or reproduce sounds at a distance, especially such devices in which the human voice is transmitted as by wire, satellite, or via base-station antennas as short-wave analog or digital signals. The term was used as early as the 18th century to refer to string phones (cups joined by a string), but the modern device is attributed to Alexander Graham Bell, who patented it in March 1876. That original telephones worked on the principle that sounds of speech are complex vibrations in air, which can be transferrable to solid bodies and in electrical impulses in conducting metals.",300249768,http://www.getty.edu/vow/AATFullDisplay?find=Telephone&logic=AND&note=&english=N&prev_page=1&subjectid=300249768
Radio,Telecommunication system whereby sound and code signals are transmitted through space without wires by means of radio frequency electromagnetic waves.,300249989,http://www.getty.edu/vow/AATFullDisplay?find=Radio&logic=AND&note=&english=N&prev_page=1&subjectid=300249989
Durable Medical Equipment,"Instruments or apparatuses that aid the diagnosis, prevention, and treatment of diseases and injuries used in the practice of medicine.",300247523,http://www.getty.edu/vow/AATFullDisplay?find=Medical+Equipment&logic=AND&note=&english=N&prev_page=1&subjectid=300247523
Cane,"Walking sticks, especially those with a curved handle and made of cane or bamboo.",300224230,http://www.getty.edu/vow/AATFullDisplay?find=Cane&logic=AND&note=&english=N&prev_page=1&subjectid=300224230
Walker,"Frameworks used to assist mobility for the disabled or infirm, or designed to support babies learning to walk.",300386051,http://www.getty.edu/vow/AATFullDisplay?find=Walker&logic=AND&note=&english=N&prev_page=1&subjectid=300386051
Scooter,"Foot-propelled vehicles with, usually, two wheels in tandem, a low footboard on which the rider stands set between the wheels, and a handlebar for steering, generally mounted on a vertical post; for similar, but larger and heavier, motorized vehicles, use ""motor scooters.""",300220160,http://www.getty.edu/vow/AATFullDisplay?find=Scooter&logic=AND&note=&english=N&prev_page=1&subjectid=300220160
Free weights/exercise equipment,Recreational Artifacts,300211288,http://www.getty.edu/vow/AATFullDisplay?find=exercise+equipment&logic=AND&note=&english=N&prev_page=1&subjectid=300211288
CPAP,,,
Commode,"Term generally applied to a variety of chairs fitted with a chamber pot. Use ""bidets (box stools)"" for box stools with a chamber pot.",300038155,http://www.getty.edu/vow/AATFullDisplay?find=Commode&logic=AND&note=&english=N&prev_page=1&subjectid=300038155
Inhaler,,,
,,,
Items unidentified,,,
Pill Organizer,,,
Closet top,,,
Wall above sink,,,
Whiteboard,,,
Slide Holder,,,
Refrigerator Outside,,,
Refrigerator Top,,,
CPAP,,,
Inhaler,,,
